"run","page","url","performance","accessibility","best_practices","seo","error"
"10","coming-soon","http://localhost:3000/coming-soon","35","94","100","92",""
"1","access-denied","http://localhost:3000/access-denied","38","94","100","92",""
"2","access-denied","http://localhost:3000/access-denied","38","94","100","92",""
"3","access-denied","http://localhost:3000/access-denied","38","94","100","92",""
"4","access-denied","http://localhost:3000/access-denied","40","94","100","92",""
"5","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"6","access-denied","http://localhost:3000/access-denied","38","94","100","92",""
"7","access-denied","http://localhost:3000/access-denied","38","94","100","92",""
"8","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"9","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"10","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"1","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"2","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"3","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"4","blank-page","http://localhost:3000/blank-page","36","94","100","92",""
"5","blank-page","http://localhost:3000/blank-page","45","94","100","92",""
"6","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"7","blank-page","http://localhost:3000/blank-page","36","94","100","92",""
"8","blank-page","http://localhost:3000/blank-page","36","94","100","92",""
"9","blank-page","http://localhost:3000/blank-page","36","94","100","92",""
"10","blank-page","http://localhost:3000/blank-page","38","94","100","92",""
"1","customer-dashboard","http://localhost:3000/customer/dashboard","45","92","96","92",""
"2","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"3","customer-dashboard","http://localhost:3000/customer/dashboard","41","92","96","92",""
"4","customer-dashboard","http://localhost:3000/customer/dashboard","39","92","96","92",""
"5","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"6","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"7","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"8","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"9","customer-dashboard","http://localhost:3000/customer/dashboard","41","92","96","92",""
"10","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"1","customer-orders","http://localhost:3000/customer/orders","50","92","96","92",""
"2","customer-orders","http://localhost:3000/customer/orders","39","92","96","92",""
"3","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"4","customer-orders","http://localhost:3000/customer/orders","39","92","96","92",""
"5","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"6","customer-orders","http://localhost:3000/customer/orders","37","92","96","92",""
"7","customer-orders","http://localhost:3000/customer/orders","39","92","96","92",""
"8","customer-orders","http://localhost:3000/customer/orders","39","92","96","92",""
"9","customer-orders","http://localhost:3000/customer/orders","41","92","96","92",""
"10","customer-orders","http://localhost:3000/customer/orders","39","92","96","92",""
